Commodities,Sector,Nation,Impact,
1100 TC,Shipping,Global,,
1700 TC,Shipping,Global,,
Alumina,Metals,Global,,
Aluminum,Metals,Global,NSH,
Asia Crack Spread,Energy,Global,,
Asian LNG,Energy,Global,,
Aus Met Coal,Metals,Global,HPG,
Australia Coal,Energy,Global,,
Baltic Clean,Shipping,Global,PVT,
Baltic Dirty,Shipping,Global,PVT,
Baltic Dry,Shipping,Global,"VOS, VNA",
Baltic Handysize,Shipping,Global,"VOS, VNA",
Brent,Energy,Global,"GAS, PVD, PVS",
China Bismuth,Metals,China,MSR,
China Caustic Soda,Chemicals,China,,
China Fluorspar,Metals,China,MSR,
China HRC,Metals,China,"HPG, HSG, NKG",
China Long steel,Metals,China,HPG,
China Thermal Coal,Energy,China,"TC6, TVD, NBC, THT, TDN",
China Tungsten,Metals,China,MSR,
China Urea,Fertilizers,China,"DPM, DCM",
China Urea 2,Fertilizers,China,,
China Urea Futures,Fertilizers,China,"DPM, DCM",
China Urea Prill,Fertilizers,China,"DPM, DCM",
DAP China,Fertilizers,China,,
DAP US,Fertilizers,US,DDV,
EU Natural Gas,Energy,Global,,
Gold,Metals,Global,,
Indo Urea,Fertilizers,Global,,
International Rig Count,Energy,Global,,
Jet Fuel ,Energy,Global,"VJC, HVN",
Malting Barley - Australia,Agriculture,Aus,,
Malting Barley - France,Agriculture,France,,
Marine Fuel Oil,Energy,Global,,
MOP China,Fertilizers,China,,
Ore 62,Metals,Global,HPG,
Palm Oil,Agriculture,Global,,
Potash US,Fertilizers,US,,
PVC Contract SEA,Plastics,Global,,
PVC Spot SEA,Plastics,Global,"BMP, NTP",
Rice VN Exports,Agriculture,VN,LTG,
Scrap,Metals,Global,,
SE Asia PE,Plastics,Global,,
SE Asia PS,Plastics,Global,,
Shanghai Container Index,Shipping,China,HAH,
Silver,Metals,Global,,
Singapore Fuel 380,Energy,Singapore,"DPM, DCM",
Skim milk powder,Milk,Global,VNM,
Sugar,Agriculture,Global,"QNS, LSS, SBT, SLS",
Ure Brazil Future,Fertilizers,Global,,
Ure Middle East Future,Fertilizers,Global,,
Ure US Gulf Future,Fertilizers,US,,
Urea Middle East,Fertilizers,Global,,
Urea US,Fertilizers,US,,
US Amonia,Fertilizers,US,DPM,
US Crack Spread,Energy,US,,
US Natural Gas,Energy,US,,
US Rig Count,Energy,US,,
Very Low Sulfur Fuel Oil,Shipping,Global,"HAH, VOS, VNA",
Whole milk powder,Milk,Global,VNM,
WTI,Energy,Global,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
